Turnir,od,do,EventID,Organizator(i),Direktor turnira,Glavni sudac,Zamjenik glavnog suca,Sudac,Lokacija,Tempo igre,FED,State,Zadnja izmjena,ekipe,n,Rd,Rd-Akt,DB-Key,System
"Rejting turnir Šk ""Dubrovnik"" do 1900 Nrtg, 20-22.05.2022.",20220520,20220522,,"Šahovski klub ""Dubrovnik""",,"IA, IO Sulejman Islamović 14516659",,,"Prostor ŠK ""Dubrovnik"", Dubrovnik, Gospino polje",30 min + 30 sec,CRO,,22.05.2022  19:48,0,15,7,7,639599,Schweizer System
"Turnir vankategornika ŠK ""FERIT-OSIJEK"" 2022.",20220505,20220519,,"ŠK ""FERIT-OSIJEK"" i Fakultet FERIT",Aleksi Ivan,"Josip Jurman, NA (14536641) Državni sudac",,,"Osijek, Dvorac Mačkamama i prostor FERIT-a","30,00 min.+30 sek dodatak",CRO,,19.05.2022  20:17,0,14,9,9,625612,Schweizer System
Pojedinačno veteransko prvenstvo Grada Zagreba 2022,20220429,20220506,,Zagrebački šahovski savez,Krešimir podravec,Vid Brzica,,,"Zagreb, Masarykova 22/3",30 minuta + 30 sekundi za svaki izvršeni potez,CRO,,06.05.2022  19:40,0,11,7,7,632100,Schweizer System
Pojedinačno kadetsko prvenstvo Koprivničko-križevačke županije za 2022kadeti do 11 godina,20220430,20220501,,Šahovski savez Koprivničko-križevačke županije,Nikola Mihočka,Borislav Vidović,,,"Društveni dom, Starigrad",30 minuta plus 30 sekundi,CRO,,30.04.2022  12:47,0,8,5,5,632127,Schweizer System
Pojedinačno kadetsko prvenstvo Koprivničko-križevačke županije za 2022kadeti do 13 godina,20220430,20220501,,Šahovski savez Koprivničko-križevačke županije,Nikola Mihočka,Borislav Vidović,,,"Društveni dom, Starigrad",30 minuta plu 30 sekundi,CRO,,30.04.2022  17:11,0,10,5,5,632122,Schweizer System
Pojedinačno kadetsko prvenstvo Koprivničko-križevačke županije za 2022kadeti do 15 godina,20220430,20220501,,Šahovski savez Koprivničko-križevačke županije,Nikola Mihočka,Borislav Vidović,,,"Društveni dom, Starigrad",30 minuta plu 30 sekundi,CRO,,01.05.2022  11:50,0,7,5,5,632118,Schweizer System
Pojedinačno kadetsko prvenstvo Koprivničko-križevačke županije za 2022kadeti do 9 godina,20220430,20220501,,Šahovski savez Koprivničko-križevačke županije,Nikola Mihočka,Borislav Vidović,,"Ivan Baruškin, Petrica Koštić, Goran Martić","Društveni dom, Starigrad",30 minuta plus 30 sekundi,CRO,,30.04.2022  12:51,0,11,5,5,632130,Schweizer System
Pojedinačno kadetsko prvenstvo Koprivničko-križevačke županije za 2022kadetkinje do 9 godina,20220430,20220501,,Šahovski savez Koprivničko-križevačke županije,Nikola Mihočka,Borislav Vidović,,"Ivan Baruškin, Petrica Koštić, Goran Martić","Društveni dom, Starigrad",30 minuta plus 30 sekundi,CRO,,30.04.2022  12:29,0,8,5,5,632131,Schweizer System
VRSAR OPEN,20220418,20220424,,,"Lovrinić, Vlatko (CRO) [14574713]","IA Dorić, Nenad (CRO) [14501694]","CA Mihalinec, D. (CRO) [14504260]",,"Vrsar (CRO), Sportska dvorana Saline",90 minutes with 30 second increment from move 1,CRO,,24.04.2022  13:30,0,64,9,9,614003,Schweizer System
Pojedinačno kadetsko prvenstvo Međimurja - 2022.                       - Kadeti do 12 godina -,20220421,20220423,,"ŠSM i ŠK ""Strahoninec""",Močnik Darko,"ŽS, Stanković Mateo, 14539632",,"KS, Kanižaj Benjamin, 14542781","Strahoninec, društveni dom",30 minuta + 30 sekundi dodatka za svaki odigrani potez,CRO,,23.04.2022  12:01,0,18,6,6,625874,Schweizer System
